best_epoch,best_val_loss_model_space,config_alignn_layers,config_batch_size,config_gcn_layers,config_hidden_features,config_loss,config_lr,config_weight_decay,done_x,elapsed_seconds,epoch,iterations_since_restore,run_group,time_since_restore,time_this_iter_s,time_total_s,train_loss_model_space,training_iteration,trial_id,trial_name,val_loss_model_space,val_mae,val_r2,val_rmse,trial_id_short,trial_order_within_shard,selected_best_epoch,selected_val_loss_model_space,max_epoch,reported_rows,final_time_total_s,status,done_y,trial_order
47,0.0644119404177501,3,8,3,64,smoothl1,0.0003487250488536,3.058504729955101e-05,False,491.3778426647186,47,47,group_A,492.6732659339905,10.4166841506958,492.6732659339905,0.0706846333955555,47,4b54ab4c,"trainable_4b54ab4c_25_alignn_layers=3,batch_size=8,gcn_layers=3,hidden_features=64,loss=smoothl1,lr=0.0003,weight_decay=0.0000_2026-07-09_02-32-45",0.0644119404177501,0.3584148157851839,0.8237629221952957,0.5071203106798258,4b54ab4c,25,47,0.0644119404177501,50,50,524.0115833282471,full-budget,True,39
14,0.1040726954501772,4,8,1,64,smoothl1,0.0003633135961609,3.91400961478965e-06,False,139.932391166687,14,14,group_B,141.48792505264282,9.929605960845947,141.48792505264282,0.159761387889149,14,33d67a74,"trainable_33d67a74_15_alignn_layers=4,batch_size=8,gcn_layers=1,hidden_features=64,loss=smoothl1,lr=0.0004,weight_decay=0.0000_2026-07-09_02-31-36",0.1040726954501772,0.4875880246514402,0.7291843393261814,0.6286360039142537,33d67a74,15,14,0.1040726954501772,16,16,161.51615977287292,ASHA-stopped,True,40
7,0.1448964694978068,1,8,4,128,smoothl1,0.0012217271831665,8.108807746180727e-05,False,63.63270139694214,7,7,group_A,65.26042342185974,9.217064619064333,65.26042342185974,0.2018107023578164,7,91aadb0e,"trainable_91aadb0e_26_alignn_layers=1,batch_size=8,gcn_layers=4,hidden_features=128,loss=smoothl1,lr=0.0012,weight_decay=0.0001_2026-07-09_02-32-54",0.1448964694978068,0.591772276555555,0.6241482123857276,0.740577772884351,91aadb0e,26,7,0.1448964694978068,8,8,74.34596180915833,ASHA-stopped,True,41
12,0.1097798006480963,1,8,3,192,smoothl1,0.000636403025065,2.58858933792859e-06,False,104.98955082893372,12,12,group_B,106.5018858909607,8.850007772445679,106.5018858909607,0.1728437662914326,12,10e8ebbd,"trainable_10e8ebbd_16_alignn_layers=1,batch_size=8,gcn_layers=3,hidden_features=192,loss=smoothl1,lr=0.0006,weight_decay=0.0000_2026-07-09_02-33-33",0.1097798006480963,0.4761814494595909,0.6953037488695659,0.6668005028753335,10e8ebbd,16,12,0.1097798006480963,16,16,141.52114462852478,ASHA-stopped,True,42
47,0.0596461563947654,1,8,3,64,smoothl1,0.0006048897308998,1.0024674535159165e-06,False,404.1993637084961,47,47,group_A,405.68671107292175,8.695974111557007,405.68671107292175,0.0676000906311471,47,c72ac62e,"trainable_c72ac62e_27_alignn_layers=1,batch_size=8,gcn_layers=3,hidden_features=64,loss=smoothl1,lr=0.0006,weight_decay=0.0000_2026-07-09_02-34-05",0.0596461563947654,0.3477131426745453,0.8387295678215139,0.4851094537134565,c72ac62e,27,47,0.0596461563947654,50,50,431.5167527198791,full-budget,True,43
8,0.3291962902066568,3,4,1,64,mse,0.0007668216815034,5.806742337075409e-05,True,97.64883375167848,8,8,group_B,99.17035961151124,12.06519079208374,99.17035961151124,0.5912835502897716,8,9cae65f7,"trainable_9cae65f7_17_alignn_layers=3,batch_size=4,gcn_layers=1,hidden_features=64,loss=mse,lr=0.0008,weight_decay=0.0001_2026-07-09_02-34-10",0.3291962902066568,0.6065799196460293,0.5797904983599739,0.7830604640271944,9cae65f7,17,8,0.3291962902066568,8,8,99.17035961151124,ASHA-stopped,True,44
8,0.1784543307527663,3,8,4,256,smoothl1,0.0006832259700287,5.2070287018586594e-06,True,82.89713335037231,8,8,group_A,84.44887948036194,10.42792558670044,84.44887948036194,0.233842154664378,8,9da6cffb,"trainable_9da6cffb_28_alignn_layers=3,batch_size=8,gcn_layers=4,hidden_features=256,loss=smoothl1,lr=0.0007,weight_decay=0.0000_2026-07-09_02-34-45",0.1784543307527663,0.6333612482140195,0.4587555296420806,0.8887080201028259,9da6cffb,28,8,0.1784543307527663,8,8,84.44887948036194,ASHA-stopped,True,45
41,0.0591628484763007,3,8,3,256,smoothl1,0.0007410129911375,1.0281359897779108e-06,False,413.0248341560364,41,41,group_A,414.4674353599548,10.024248361587524,414.4674353599548,0.0488116957426287,41,58e2c8d4,"trainable_58e2c8d4_29_alignn_layers=3,batch_size=8,gcn_layers=3,hidden_features=256,loss=smoothl1,lr=0.0007,weight_decay=0.0000_2026-07-09_02-35-22",0.0591628484763007,0.3350942116277212,0.8429991240305026,0.478644861626505,58e2c8d4,29,41,0.0591628484763007,50,50,505.2243130207062,full-budget,True,46
15,0.1482793458160899,2,4,4,192,smoothl1,0.0006834492607898,2.7915486118812965e-05,False,199.81848907470703,15,15,group_B,201.29811573028564,13.310840845108032,201.29811573028564,0.2071162513245713,15,a28cbca8,"trainable_a28cbca8_18_alignn_layers=2,batch_size=4,gcn_layers=4,hidden_features=192,loss=smoothl1,lr=0.0007,weight_decay=0.0000_2026-07-09_02-35-19",0.1482793458160899,0.567522052615319,0.5910639083851178,0.772485051770603,a28cbca8,18,15,0.1482793458160899,16,16,214.69770908355713,ASHA-stopped,True,47
6,0.2470246736334745,1,8,3,128,mse,0.0014920111393208,2.9402535366804047e-06,False,52.43452835083008,6,6,group_B,53.999194860458374,8.84215235710144,53.999194860458374,0.5458169825536943,6,921f9623,"trainable_921f9623_20_alignn_layers=1,batch_size=8,gcn_layers=3,hidden_features=128,loss=mse,lr=0.0015,weight_decay=0.0000_2026-07-09_02-36-30",0.2470246736334745,0.5112885319458523,0.6846801799619101,0.6783252729785472,921f9623,20,6,0.2470246736334745,8,8,71.40725326538086,ASHA-stopped,True,48
