best_epoch,best_val_loss_model_space,config_alignn_layers,config_batch_size,config_gcn_layers,config_hidden_features,config_loss,config_lr,config_weight_decay,done,elapsed_seconds,epoch,iterations_since_restore,run_group,time_since_restore,time_this_iter_s,time_total_s,train_loss_model_space,training_iteration,trial_id,trial_name,val_loss_model_space,val_mae,val_r2,val_rmse
7,0.1427445347031588,1,8,2,128,smoothl1,0.0005853660950794,1.1288543522481463e-05,False,59.061776876449585,7,7,group_B,60.61001777648926,8.570639848709106,60.61001777648926,0.1924675926075631,7,a7fa868e,"trainable_a7fa868e_29_alignn_layers=1,batch_size=8,gcn_layers=2,hidden_features=128,loss=smoothl1,lr=0.0006,weight_decay=0.0000_2026-07-09_02-45-12",0.1427445347031588,0.5693936678538295,0.6241939393045774,0.7405327213894491
7,0.1427445347031588,1,8,2,128,smoothl1,0.0005853660950794,1.1288543522481463e-05,False,67.4731228351593,8,8,group_B,69.01857876777649,8.408560991287231,69.01857876777649,0.1884194000711795,8,a7fa868e,"trainable_a7fa868e_29_alignn_layers=1,batch_size=8,gcn_layers=2,hidden_features=128,loss=smoothl1,lr=0.0006,weight_decay=0.0000_2026-07-09_02-45-12",0.1431806335058161,0.5675554406300064,0.6162815162288193,0.7482879008403602
7,0.1427445347031588,1,8,2,128,smoothl1,0.0005853660950794,1.1288543522481463e-05,False,76.02154541015625,9,9,group_B,77.56428623199463,8.54570746421814,77.56428623199463,0.1898653482652862,9,a7fa868e,"trainable_a7fa868e_29_alignn_layers=1,batch_size=8,gcn_layers=2,hidden_features=128,loss=smoothl1,lr=0.0006,weight_decay=0.0000_2026-07-09_02-45-12",0.1500770578151026,0.5848149366469966,0.5921119737825102,0.7714945128120825
10,0.1383845984699234,1,8,2,128,smoothl1,0.0005853660950794,1.1288543522481463e-05,False,84.44157290458679,10,10,group_B,85.9813506603241,8.417064428329468,85.9813506603241,0.1857735675473288,10,a7fa868e,"trainable_a7fa868e_29_alignn_layers=1,batch_size=8,gcn_layers=2,hidden_features=128,loss=smoothl1,lr=0.0006,weight_decay=0.0000_2026-07-09_02-45-12",0.1383845984699234,0.5591905339181868,0.6366284522081093,0.7281784509107074
10,0.1383845984699234,1,8,2,128,smoothl1,0.0005853660950794,1.1288543522481463e-05,False,92.89299845695496,11,11,group_B,94.4294764995575,8.448125839233398,94.4294764995575,0.1705656560178333,11,a7fa868e,"trainable_a7fa868e_29_alignn_layers=1,batch_size=8,gcn_layers=2,hidden_features=128,loss=smoothl1,lr=0.0006,weight_decay=0.0000_2026-07-09_02-45-12",0.1716394641648524,0.616633993352103,0.5202182098632587,0.8367278867100973
12,0.1323803395978988,1,8,2,128,smoothl1,0.0005853660950794,1.1288543522481463e-05,False,101.47124028205872,12,12,group_B,103.00509667396544,8.575620174407959,103.00509667396544,0.1701197461412092,12,a7fa868e,"trainable_a7fa868e_29_alignn_layers=1,batch_size=8,gcn_layers=2,hidden_features=128,loss=smoothl1,lr=0.0006,weight_decay=0.0000_2026-07-09_02-45-12",0.1323803395978988,0.552858195672442,0.6541256665070108,0.7104303899176989
13,0.1021005213851966,1,8,2,128,smoothl1,0.0005853660950794,1.1288543522481463e-05,False,109.88311910629272,13,13,group_B,111.41439247131348,8.409295797348022,111.41439247131348,0.1649625209712566,13,a7fa868e,"trainable_a7fa868e_29_alignn_layers=1,batch_size=8,gcn_layers=2,hidden_features=128,loss=smoothl1,lr=0.0006,weight_decay=0.0000_2026-07-09_02-45-12",0.1021005213851966,0.470858740176871,0.7355876832204251,0.6211596033942733
13,0.1021005213851966,1,8,2,128,smoothl1,0.0005853660950794,1.1288543522481463e-05,False,118.299880027771,14,14,group_B,119.82830238342284,8.413909912109375,119.82830238342284,0.1570683783600799,14,a7fa868e,"trainable_a7fa868e_29_alignn_layers=1,batch_size=8,gcn_layers=2,hidden_features=128,loss=smoothl1,lr=0.0006,weight_decay=0.0000_2026-07-09_02-45-12",0.1420588009650745,0.5475612089205518,0.6103008891979695,0.7540967527820146
13,0.1021005213851966,1,8,2,128,smoothl1,0.0005853660950794,1.1288543522481463e-05,False,126.86194276809692,15,15,group_B,128.3881437778473,8.559841394424438,128.3881437778473,0.1434892810160113,15,a7fa868e,"trainable_a7fa868e_29_alignn_layers=1,batch_size=8,gcn_layers=2,hidden_features=128,loss=smoothl1,lr=0.0006,weight_decay=0.0000_2026-07-09_02-45-12",0.1270635620587402,0.507060088247632,0.6617063719645946,0.702601822664703
13,0.1021005213851966,1,8,2,128,smoothl1,0.0005853660950794,1.1288543522481463e-05,True,135.2890465259552,16,16,group_B,136.81250524520874,8.42436146736145,136.81250524520874,0.1401969387666264,16,a7fa868e,"trainable_a7fa868e_29_alignn_layers=1,batch_size=8,gcn_layers=2,hidden_features=128,loss=smoothl1,lr=0.0006,weight_decay=0.0000_2026-07-09_02-45-12",0.1123650127223559,0.4996182274989106,0.705212811501358,0.6558683378897869
1,0.4995681099475376,3,4,3,64,smoothl1,0.000525191145447,1.2662360512437638e-05,False,17.956178665161133,1,1,group_B,27.07791543006897,27.07791543006897,27.07791543006897,0.6996620254366707,1,a8eaad57,"trainable_a8eaad57_1_alignn_layers=3,batch_size=4,gcn_layers=3,hidden_features=64,loss=smoothl1,lr=0.0005,weight_decay=0.0000_2026-07-09_02-22-02",0.4995681099475376,1.222465897701981,-0.4893401054318462,1.4742098393638696
2,0.2630594411381968,3,4,3,64,smoothl1,0.000525191145447,1.2662360512437638e-05,False,31.5210223197937,2,2,group_B,40.636168241500854,13.558252811431885,40.636168241500854,0.3835553170192234,2,a8eaad57,"trainable_a8eaad57_1_alignn_layers=3,batch_size=4,gcn_layers=3,hidden_features=64,loss=smoothl1,lr=0.0005,weight_decay=0.0000_2026-07-09_02-22-02",0.2630594411381968,0.8143471112616888,0.2815192484803809,1.0239292091220853
3,0.2097081426905576,3,4,3,64,smoothl1,0.000525191145447,1.2662360512437638e-05,False,45.0748565196991,3,3,group_B,54.186973333358765,13.55080509185791,54.186973333358765,0.3169810855105137,3,a8eaad57,"trainable_a8eaad57_1_alignn_layers=3,batch_size=4,gcn_layers=3,hidden_features=64,loss=smoothl1,lr=0.0005,weight_decay=0.0000_2026-07-09_02-22-02",0.2097081426905576,0.7090585307787343,0.4388596908208515,0.9048948089042486
4,0.172335526299855,3,4,3,64,smoothl1,0.000525191145447,1.2662360512437638e-05,False,58.79121828079224,4,4,group_B,67.90049648284912,13.713523149490356,67.90049648284912,0.2832507520271533,4,a8eaad57,"trainable_a8eaad57_1_alignn_layers=3,batch_size=4,gcn_layers=3,hidden_features=64,loss=smoothl1,lr=0.0005,weight_decay=0.0000_2026-07-09_02-22-02",0.172335526299855,0.6418596447288551,0.5435253414774641,0.816151342725397
5,0.1676634376641934,3,4,3,64,smoothl1,0.000525191145447,1.2662360512437638e-05,False,72.33938121795654,5,5,group_B,81.44577026367188,13.545273780822754,81.44577026367188,0.2675068350563989,5,a8eaad57,"trainable_a8eaad57_1_alignn_layers=3,batch_size=4,gcn_layers=3,hidden_features=64,loss=smoothl1,lr=0.0005,weight_decay=0.0000_2026-07-09_02-22-02",0.1676634376641934,0.6227761364584868,0.5587391397797916,0.802435376463333
5,0.1676634376641934,3,4,3,64,smoothl1,0.000525191145447,1.2662360512437638e-05,False,86.02858066558838,6,6,group_B,95.1317970752716,13.686026811599731,95.1317970752716,0.2616229165625011,6,a8eaad57,"trainable_a8eaad57_1_alignn_layers=3,batch_size=4,gcn_layers=3,hidden_features=64,loss=smoothl1,lr=0.0005,weight_decay=0.0000_2026-07-09_02-22-02",0.1762544448886598,0.6531755709660543,0.5328963891797955,0.8255986526036542
7,0.1556894316402061,3,4,3,64,smoothl1,0.000525191145447,1.2662360512437638e-05,False,99.61433172225952,7,7,group_B,108.71511673927309,13.583319664001465,108.71511673927309,0.2462459649066634,7,a8eaad57,"trainable_a8eaad57_1_alignn_layers=3,batch_size=4,gcn_layers=3,hidden_features=64,loss=smoothl1,lr=0.0005,weight_decay=0.0000_2026-07-09_02-22-02",0.1556894316402061,0.6009326885242784,0.5811613777985061,0.7817821035427893
8,0.132403425990589,3,4,3,64,smoothl1,0.000525191145447,1.2662360512437638e-05,False,113.19514298439026,8,8,group_B,122.29313659667967,13.578019857406616,122.29313659667967,0.2516706192043166,8,a8eaad57,"trainable_a8eaad57_1_alignn_layers=3,batch_size=4,gcn_layers=3,hidden_features=64,loss=smoothl1,lr=0.0005,weight_decay=0.0000_2026-07-09_02-22-02",0.132403425990589,0.560077274777791,0.6530860919884671,0.7114972386843681
8,0.132403425990589,3,4,3,64,smoothl1,0.000525191145447,1.2662360512437638e-05,False,127.00679969787598,9,9,group_B,136.10202193260193,13.80888533592224,136.10202193260193,0.2466794560498474,9,a8eaad57,"trainable_a8eaad57_1_alignn_layers=3,batch_size=4,gcn_layers=3,hidden_features=64,loss=smoothl1,lr=0.0005,weight_decay=0.0000_2026-07-09_02-22-02",0.1443462034381886,0.5718799041621258,0.6141864403470924,0.7503279196455281
8,0.132403425990589,3,4,3,64,smoothl1,0.000525191145447,1.2662360512437638e-05,False,140.68762016296387,10,10,group_B,149.7799997329712,13.677977800369264,149.7799997329712,0.2346823357465328,10,a8eaad57,"trainable_a8eaad57_1_alignn_layers=3,batch_size=4,gcn_layers=3,hidden_features=64,loss=smoothl1,lr=0.0005,weight_decay=0.0000_2026-07-09_02-22-02",0.1410834636322405,0.5607640661380907,0.6213653298261799,0.7433144102880744
8,0.132403425990589,3,4,3,64,smoothl1,0.000525191145447,1.2662360512437638e-05,False,154.3542103767395,11,11,group_B,163.44374752044678,13.663747787475586,163.44374752044678,0.2317946654627341,11,a8eaad57,"trainable_a8eaad57_1_alignn_layers=3,batch_size=4,gcn_layers=3,hidden_features=64,loss=smoothl1,lr=0.0005,weight_decay=0.0000_2026-07-09_02-22-02",0.176237910591736,0.6555213672842616,0.5270993989212711,0.8307059024126698
8,0.132403425990589,3,4,3,64,smoothl1,0.000525191145447,1.2662360512437638e-05,False,168.19027638435364,12,12,group_B,177.2770960330963,13.833348512649536,177.2770960330963,0.2195665034887928,12,a8eaad57,"trainable_a8eaad57_1_alignn_layers=3,batch_size=4,gcn_layers=3,hidden_features=64,loss=smoothl1,lr=0.0005,weight_decay=0.0000_2026-07-09_02-22-02",0.1845285046510595,0.6251413666836109,0.4710070976726704,0.8785920834862773
