best_epoch,best_val_loss_model_space,config_alignn_layers,config_batch_size,config_gcn_layers,config_hidden_features,config_loss,config_lr,config_weight_decay,done,epoch,num_reported_rows,run_group,test_mae,test_r2,test_rmse,time_total_s,training_iteration,trial_name,val_loss_model_space,val_mae,val_r2,val_rmse
7,0.1416834859305588,1,8,3,64,smoothl1,0.0007376473650009,6.216004373584359e-06,True,8,8,group_A,,,,72.26858901977539,8,"trainable_2c33e2c9_147_alignn_layers=1,batch_size=8,gcn_layers=3,hidden_features=64,loss=smoothl1,lr=0.0007,weight_decay=0.0000_2026-07-09_03-21-55",0.161531956403186,0.6056225217301813,0.5505779038570153,0.8098220054326056
27,0.0817847483885036,1,8,3,64,smoothl1,0.0003042824612872,9.778203833619932e-05,True,32,32,group_A,,,,276.34081196784973,32,"trainable_2d63ad83_33_alignn_layers=1,batch_size=8,gcn_layers=3,hidden_features=64,loss=smoothl1,lr=0.0003,weight_decay=0.0001_2026-07-09_02-38-22",0.085338950472534,0.4197402939158784,0.7648901897176013,0.585730364719203
42,0.0561741440256357,4,8,4,256,smoothl1,0.0005353246667804,8.127041904785736e-06,True,50,50,group_A,,,,562.1484055519104,50,"trainable_2e9a6b09_30_alignn_layers=4,batch_size=8,gcn_layers=4,hidden_features=256,loss=smoothl1,lr=0.0005,weight_decay=0.0000_2026-07-09_02-36-05",0.0624791744840208,0.3343277353261666,0.8223376119851427,0.5091668386690443
15,0.0987769720691537,1,8,1,64,smoothl1,0.0008411135959821,1.736211217579171e-05,True,16,16,group_A,,,,130.55120754241943,16,"trainable_32af354e_125_alignn_layers=1,batch_size=8,gcn_layers=1,hidden_features=64,loss=smoothl1,lr=0.0008,weight_decay=0.0000_2026-07-09_03-15-29",0.1142558240671716,0.4728324082259235,0.6550895775508598,0.7094397563164008
13,0.1070382275357448,3,8,3,64,smoothl1,0.0005029265297672,4.385449651883087e-06,True,16,16,group_A,,,,165.43180990219116,16,"trainable_333bf44f_87_alignn_layers=3,batch_size=8,gcn_layers=3,hidden_features=64,loss=smoothl1,lr=0.0005,weight_decay=0.0000_2026-07-09_03-05-12",0.117548981789874,0.5024478983355597,0.6926828763507193,0.6696621349926437
6,0.1642759742717894,1,4,3,64,smoothl1,0.0008346170426053,2.450086978290691e-05,True,8,8,group_A,,,,89.39187049865723,8,"trainable_3523a4c1_175_alignn_layers=1,batch_size=4,gcn_layers=3,hidden_features=64,loss=smoothl1,lr=0.0008,weight_decay=0.0000_2026-07-09_03-32-18",0.1817103015682684,0.6562778598128247,0.4956430360399428,0.8578895429827139
5,0.1252170056893081,1,8,4,128,smoothl1,0.0007536095915793,2.850739755826555e-05,True,8,8,group_A,,,,75.16835021972656,8,"trainable_36bb6a6c_183_alignn_layers=1,batch_size=8,gcn_layers=4,hidden_features=128,loss=smoothl1,lr=0.0008,weight_decay=0.0000_2026-07-09_03-35-09",0.1957001023033939,0.6672762078304727,0.4590693824780026,0.8884503140250276
5,0.1490982894701932,4,8,3,128,smoothl1,0.0004377553819094,1.5603561022156685e-05,True,8,8,group_A,,,,87.92114639282227,8,"trainable_36fde590_173_alignn_layers=4,batch_size=8,gcn_layers=3,hidden_features=128,loss=smoothl1,lr=0.0004,weight_decay=0.0000_2026-07-09_03-32-08",0.1735174417811096,0.6069620802644022,0.5110158127507901,0.8447141531557268
13,0.1173722911133337,2,4,1,128,smoothl1,0.0012444519726146,6.882272281295304e-06,True,16,16,group_A,,,,180.5110239982605,16,"trainable_3751b2a7_21_alignn_layers=2,batch_size=4,gcn_layers=1,hidden_features=128,loss=smoothl1,lr=0.0012,weight_decay=0.0000_2026-07-09_02-30-42",0.1415670281522488,0.5336231298148598,0.5751717962656056,0.7873521792308149
15,0.1090499450841908,1,8,1,64,smoothl1,0.0004523631619795,1.0341147614497902e-05,True,16,16,group_A,,,,129.29078364372253,16,"trainable_37a98cd9_139_alignn_layers=1,batch_size=8,gcn_layers=1,hidden_features=64,loss=smoothl1,lr=0.0005,weight_decay=0.0000_2026-07-09_03-20-02",0.1373987455886823,0.5257935661276604,0.5674593309308892,0.7944669535256612
39,0.056259797496731,1,8,3,128,smoothl1,0.0012793035292721,4.876976638943077e-05,True,50,50,group_A,,,,439.2355239391327,50,"trainable_3812e210_191_alignn_layers=1,batch_size=8,gcn_layers=3,hidden_features=128,loss=smoothl1,lr=0.0013,weight_decay=0.0000_2026-07-09_03-37-33",0.0600153376599625,0.3338421095079976,0.8404270233882796,0.4825496849278383
31,0.0717892448452335,1,8,4,64,smoothl1,0.0011916017168942,1.5303579733537907e-06,True,32,32,group_A,,,,288.1814138889313,32,"trainable_38230aba_32_alignn_layers=1,batch_size=8,gcn_layers=4,hidden_features=64,loss=smoothl1,lr=0.0012,weight_decay=0.0000_2026-07-09_02-37-50",0.0899336761721069,0.4058042848043912,0.7527991173983896,0.6006028265840179
12,0.1058946913157505,2,8,3,256,smoothl1,0.0006893027852663,1.4602348491955023e-06,True,16,16,group_A,,,,153.1487798690796,16,"trainable_38e1df3a_161_alignn_layers=2,batch_size=8,gcn_layers=3,hidden_features=256,loss=smoothl1,lr=0.0007,weight_decay=0.0000_2026-07-09_03-27-16",0.130705461733871,0.5136610060225382,0.6421666521179398,0.7226080062789128
7,0.1417084073342343,1,8,3,64,smoothl1,0.000757168443887,5.35493210392629e-06,True,8,8,group_A,,,,70.6827666759491,8,"trainable_3a57ef73_152_alignn_layers=1,batch_size=8,gcn_layers=3,hidden_features=64,loss=smoothl1,lr=0.0008,weight_decay=0.0000_2026-07-09_03-23-23",0.1623929985577152,0.6071512007484897,0.5475065573007571,0.812584451979724
15,0.1080041513162315,1,8,1,64,smoothl1,0.0005602740976383,2.358072973146513e-05,True,16,16,group_A,,,,131.23761749267578,16,"trainable_3c07d648_103_alignn_layers=1,batch_size=8,gcn_layers=1,hidden_features=64,loss=smoothl1,lr=0.0006,weight_decay=0.0000_2026-07-09_03-09-42",0.1294351709247739,0.5090940150145807,0.598862623179437,0.765083662759942
